,date,advertiser_id,product_id,modelo,advertiser_product
0,2023-05-01,2WPF1NXECF3G6NUMWDO7,lq3nso,modelo_1,2WPF1NXECF3G6NUMWDO7lq3nso
1,2023-05-01,2WPF1NXECF3G6NUMWDO7,gkz6wc,modelo_1,2WPF1NXECF3G6NUMWDO7gkz6wc
2,2023-05-01,2WPF1NXECF3G6NUMWDO7,ipdbkq,modelo_1,2WPF1NXECF3G6NUMWDO7ipdbkq
3,2023-05-01,2WPF1NXECF3G6NUMWDO7,w3yjck,modelo_1,2WPF1NXECF3G6NUMWDO7w3yjck
4,2023-05-01,2WPF1NXECF3G6NUMWDO7,01mgr3,modelo_1,2WPF1NXECF3G6NUMWDO701mgr3
5,2023-05-01,2WPF1NXECF3G6NUMWDO7,0299ko,modelo_1,2WPF1NXECF3G6NUMWDO70299ko
6,2023-05-01,2WPF1NXECF3G6NUMWDO7,18v6fo,modelo_1,2WPF1NXECF3G6NUMWDO718v6fo
7,2023-05-01,2WPF1NXECF3G6NUMWDO7,1ch7g8,modelo_1,2WPF1NXECF3G6NUMWDO71ch7g8
8,2023-05-01,2WPF1NXECF3G6NUMWDO7,1gegxk,modelo_1,2WPF1NXECF3G6NUMWDO71gegxk
9,2023-05-01,2WPF1NXECF3G6NUMWDO7,1gjnn4,modelo_1,2WPF1NXECF3G6NUMWDO71gjnn4
10,2023-05-01,2WPF1NXECF3G6NUMWDO7,1kq04j,modelo_1,2WPF1NXECF3G6NUMWDO71kq04j
11,2023-05-01,2WPF1NXECF3G6NUMWDO7,1za6l5,modelo_1,2WPF1NXECF3G6NUMWDO71za6l5
12,2023-05-01,2WPF1NXECF3G6NUMWDO7,2bnen4,modelo_1,2WPF1NXECF3G6NUMWDO72bnen4
13,2023-05-01,2WPF1NXECF3G6NUMWDO7,2dklx7,modelo_1,2WPF1NXECF3G6NUMWDO72dklx7
14,2023-05-01,2WPF1NXECF3G6NUMWDO7,3lh107,modelo_1,2WPF1NXECF3G6NUMWDO73lh107
15,2023-05-01,2WPF1NXECF3G6NUMWDO7,3oe469,modelo_1,2WPF1NXECF3G6NUMWDO73oe469
16,2023-05-01,2WPF1NXECF3G6NUMWDO7,4g0a2g,modelo_1,2WPF1NXECF3G6NUMWDO74g0a2g
17,2023-05-01,2WPF1NXECF3G6NUMWDO7,4l9sze,modelo_1,2WPF1NXECF3G6NUMWDO74l9sze
18,2023-05-01,2WPF1NXECF3G6NUMWDO7,4miw6l,modelo_1,2WPF1NXECF3G6NUMWDO74miw6l
19,2023-05-01,2WPF1NXECF3G6NUMWDO7,4t6u8i,modelo_1,2WPF1NXECF3G6NUMWDO74t6u8i
20,2023-05-01,5E325T5HYL61QSABVR5V,xiusbf,modelo_1,5E325T5HYL61QSABVR5Vxiusbf
21,2023-05-01,5E325T5HYL61QSABVR5V,9lk0rl,modelo_1,5E325T5HYL61QSABVR5V9lk0rl
22,2023-05-01,5E325T5HYL61QSABVR5V,9h4jly,modelo_1,5E325T5HYL61QSABVR5V9h4jly
23,2023-05-01,5E325T5HYL61QSABVR5V,dbwejh,modelo_1,5E325T5HYL61QSABVR5Vdbwejh
