,date,advertiser_id,product_id,clicks,impressions,click_rate,modelo,product_id_count
0,2023-05-01,2WPF1NXECF3G6NUMWDO7,lq3nso,1.0,1.0,1.0,modelo_1,
1,2023-05-01,2WPF1NXECF3G6NUMWDO7,gkz6wc,1.0,3.0,0.3333333333333333,modelo_1,
2,2023-05-01,2WPF1NXECF3G6NUMWDO7,ipdbkq,1.0,3.0,0.3333333333333333,modelo_1,
3,2023-05-01,2WPF1NXECF3G6NUMWDO7,w3yjck,1.0,4.0,0.25,modelo_1,
4,2023-05-01,2WPF1NXECF3G6NUMWDO7,01mgr3,0.0,6.0,0.0,modelo_1,
5,2023-05-01,2WPF1NXECF3G6NUMWDO7,0299ko,0.0,3.0,0.0,modelo_1,
6,2023-05-01,2WPF1NXECF3G6NUMWDO7,18v6fo,0.0,5.0,0.0,modelo_1,
7,2023-05-01,2WPF1NXECF3G6NUMWDO7,1ch7g8,0.0,3.0,0.0,modelo_1,
8,2023-05-01,2WPF1NXECF3G6NUMWDO7,1gegxk,0.0,4.0,0.0,modelo_1,
9,2023-05-01,2WPF1NXECF3G6NUMWDO7,1gjnn4,0.0,5.0,0.0,modelo_1,
10,2023-05-01,2WPF1NXECF3G6NUMWDO7,1kq04j,0.0,5.0,0.0,modelo_1,
11,2023-05-01,2WPF1NXECF3G6NUMWDO7,1za6l5,0.0,6.0,0.0,modelo_1,
12,2023-05-01,2WPF1NXECF3G6NUMWDO7,2bnen4,0.0,1.0,0.0,modelo_1,
13,2023-05-01,2WPF1NXECF3G6NUMWDO7,2dklx7,0.0,4.0,0.0,modelo_1,
14,2023-05-01,2WPF1NXECF3G6NUMWDO7,3lh107,0.0,8.0,0.0,modelo_1,
15,2023-05-01,2WPF1NXECF3G6NUMWDO7,3oe469,0.0,5.0,0.0,modelo_1,
16,2023-05-01,2WPF1NXECF3G6NUMWDO7,4g0a2g,0.0,5.0,0.0,modelo_1,
17,2023-05-01,2WPF1NXECF3G6NUMWDO7,4l9sze,0.0,4.0,0.0,modelo_1,
18,2023-05-01,2WPF1NXECF3G6NUMWDO7,4miw6l,0.0,2.0,0.0,modelo_1,
19,2023-05-01,2WPF1NXECF3G6NUMWDO7,4t6u8i,0.0,5.0,0.0,modelo_1,
20,2023-05-01,5E325T5HYL61QSABVR5V,xiusbf,1.0,1.0,1.0,modelo_1,
21,2023-05-01,5E325T5HYL61QSABVR5V,9lk0rl,1.0,3.0,0.3333333333333333,modelo_1,
22,2023-05-01,5E325T5HYL61QSABVR5V,9h4jly,1.0,4.0,0.25,modelo_1,
23,2023-05-01,5E325T5HYL61QSABVR5V,dbwejh,1.0,4.0,0.25,modelo_1,
24,2023-05-01,5E325T5HYL61QSABVR5V,et5htr,1.0,4.0,0.25,modelo_1,
25,2023-05-01,5E325T5HYL61QSABVR5V,0rangk,0.0,5.0,0.0,modelo_1,
26,2023-05-01,5E325T5HYL61QSABVR5V,1dt44d,0.0,1.0,0.0,modelo_1,
27,2023-05-01,5E325T5HYL61QSABVR5V,1ej5a8,0.0,3.0,0.0,modelo_1,
28,2023-05-01,5E325T5HYL61QSABVR5V,1fujc6,0.0,3.0,0.0,modelo_1,
29,2023-05-01,5E325T5HYL61QSABVR5V,2zz3ft,0.0,1.0,0.0,modelo_1,
30,2023-05-01,5E325T5HYL61QSABVR5V,3dg8co,0.0,3.0,0.0,modelo_1,
31,2023-05-01,5E325T5HYL61QSABVR5V,3o4i7z,0.0,4.0,0.0,modelo_1,
32,2023-05-01,5E325T5HYL61QSABVR5V,3qfrb4,0.0,3.0,0.0,modelo_1,
33,2023-05-01,5E325T5HYL61QSABVR5V,3vt5di,0.0,3.0,0.0,modelo_1,
